rank,run_name,hidden_dim,activation,lr,lr_decay,weight_decay,epochs,best_val_acc,checkpoint_path
482,hd768_tanh_lr0p05_decay0p9_wd0p0001,768,tanh,0.05,0.9,0.0001,50,0.8916666666666667,model/weights/hd768_tanh_lr0p05_decay0p9_wd0p0001_best.npz
483,hd128_relu_lr0p01_decay1p0_wd0p001,128,relu,0.01,1.0,0.001,50,0.8915,model/weights/hd128_relu_lr0p01_decay1p0_wd0p001_best.npz
484,hd128_sigmoid_lr0p1_decay1p0_wd0p001,128,sigmoid,0.1,1.0,0.001,50,0.8915,model/weights/hd128_sigmoid_lr0p1_decay1p0_wd0p001_best.npz
485,hd128_tanh_lr0p05_decay0p9_wd0p0001,128,tanh,0.05,0.9,0.0001,50,0.8915,model/weights/hd128_tanh_lr0p05_decay0p9_wd0p0001_best.npz
486,hd512_sigmoid_lr0p2_decay0p9_wd0p0001,512,sigmoid,0.2,0.9,0.0001,50,0.8915,model/weights/hd512_sigmoid_lr0p2_decay0p9_wd0p0001_best.npz
487,hd768_relu_lr0p01_decay0p98_wd0p0001,768,relu,0.01,0.98,0.0001,50,0.8915,model/weights/hd768_relu_lr0p01_decay0p98_wd0p0001_best.npz
488,hd128_tanh_lr0p05_decay0p9_wd0p0,128,tanh,0.05,0.9,0.0,50,0.8913333333333333,model/weights/hd128_tanh_lr0p05_decay0p9_wd0p0_best.npz
489,hd128_tanh_lr0p05_decay0p9_wd1e-05,128,tanh,0.05,0.9,1e-05,50,0.8913333333333333,model/weights/hd128_tanh_lr0p05_decay0p9_wd1e-05_best.npz
490,hd256_sigmoid_lr0p2_decay0p95_wd0p001,256,sigmoid,0.2,0.95,0.001,50,0.8913333333333333,model/weights/hd256_sigmoid_lr0p2_decay0p95_wd0p001_best.npz
491,hd768_tanh_lr0p05_decay0p9_wd0p001,768,tanh,0.05,0.9,0.001,50,0.8911666666666667,model/weights/hd768_tanh_lr0p05_decay0p9_wd0p001_best.npz
492,hd512_sigmoid_lr0p1_decay0p95_wd0p0001,512,sigmoid,0.1,0.95,0.0001,50,0.8908333333333334,model/weights/hd512_sigmoid_lr0p1_decay0p95_wd0p0001_best.npz
493,hd256_sigmoid_lr0p1_decay0p95_wd0p0,256,sigmoid,0.1,0.95,0.0,50,0.8906666666666667,model/weights/hd256_sigmoid_lr0p1_decay0p95_wd0p0_best.npz
494,hd256_sigmoid_lr0p1_decay0p95_wd1e-05,256,sigmoid,0.1,0.95,1e-05,50,0.8906666666666667,model/weights/hd256_sigmoid_lr0p1_decay0p95_wd1e-05_best.npz
495,hd512_sigmoid_lr0p2_decay1p0_wd0p001,512,sigmoid,0.2,1.0,0.001,50,0.8906666666666667,model/weights/hd512_sigmoid_lr0p2_decay1p0_wd0p001_best.npz
496,hd128_sigmoid_lr0p2_decay0p9_wd1e-05,128,sigmoid,0.2,0.9,1e-05,50,0.8905,model/weights/hd128_sigmoid_lr0p2_decay0p9_wd1e-05_best.npz
497,hd256_sigmoid_lr0p1_decay1p0_wd0p001,256,sigmoid,0.1,1.0,0.001,50,0.8905,model/weights/hd256_sigmoid_lr0p1_decay1p0_wd0p001_best.npz
498,hd128_sigmoid_lr0p1_decay0p95_wd0p0,128,sigmoid,0.1,0.95,0.0,50,0.8903333333333333,model/weights/hd128_sigmoid_lr0p1_decay0p95_wd0p0_best.npz
499,hd128_sigmoid_lr0p1_decay0p95_wd1e-05,128,sigmoid,0.1,0.95,1e-05,50,0.8903333333333333,model/weights/hd128_sigmoid_lr0p1_decay0p95_wd1e-05_best.npz
500,hd128_sigmoid_lr0p2_decay0p9_wd0p0001,128,sigmoid,0.2,0.9,0.0001,50,0.8903333333333333,model/weights/hd128_sigmoid_lr0p2_decay0p9_wd0p0001_best.npz
501,hd128_sigmoid_lr0p2_decay0p9_wd0p0,128,sigmoid,0.2,0.9,0.0,50,0.8903333333333333,model/weights/hd128_sigmoid_lr0p2_decay0p9_wd0p0_best.npz
502,hd768_tanh_lr0p01_decay1p0_wd0p001,768,tanh,0.01,1.0,0.001,50,0.8903333333333333,model/weights/hd768_tanh_lr0p01_decay1p0_wd0p001_best.npz
503,hd128_tanh_lr0p01_decay1p0_wd0p0001,128,tanh,0.01,1.0,0.0001,50,0.8901666666666667,model/weights/hd128_tanh_lr0p01_decay1p0_wd0p0001_best.npz
504,hd128_tanh_lr0p01_decay1p0_wd0p0,128,tanh,0.01,1.0,0.0,50,0.8901666666666667,model/weights/hd128_tanh_lr0p01_decay1p0_wd0p0_best.npz
505,hd128_tanh_lr0p01_decay1p0_wd1e-05,128,tanh,0.01,1.0,1e-05,50,0.8901666666666667,model/weights/hd128_tanh_lr0p01_decay1p0_wd1e-05_best.npz
506,hd128_sigmoid_lr0p2_decay0p95_wd0p001,128,sigmoid,0.2,0.95,0.001,50,0.89,model/weights/hd128_sigmoid_lr0p2_decay0p95_wd0p001_best.npz
507,hd128_tanh_lr0p05_decay0p9_wd0p001,128,tanh,0.05,0.9,0.001,50,0.89,model/weights/hd128_tanh_lr0p05_decay0p9_wd0p001_best.npz
508,hd512_sigmoid_lr0p05_decay0p98_wd0p0,512,sigmoid,0.05,0.98,0.0,50,0.89,model/weights/hd512_sigmoid_lr0p05_decay0p98_wd0p0_best.npz
509,hd128_sigmoid_lr0p1_decay0p95_wd0p0001,128,sigmoid,0.1,0.95,0.0001,50,0.8898333333333334,model/weights/hd128_sigmoid_lr0p1_decay0p95_wd0p0001_best.npz
510,hd256_sigmoid_lr0p1_decay0p95_wd0p0001,256,sigmoid,0.1,0.95,0.0001,50,0.8895,model/weights/hd256_sigmoid_lr0p1_decay0p95_wd0p0001_best.npz
511,hd512_sigmoid_lr0p05_decay0p98_wd1e-05,512,sigmoid,0.05,0.98,1e-05,50,0.8895,model/weights/hd512_sigmoid_lr0p05_decay0p98_wd1e-05_best.npz
512,hd512_relu_lr0p01_decay0p98_wd1e-05,512,relu,0.01,0.98,1e-05,50,0.8893333333333333,model/weights/hd512_relu_lr0p01_decay0p98_wd1e-05_best.npz
513,hd512_relu_lr0p01_decay0p98_wd0p0,512,relu,0.01,0.98,0.0,50,0.8891666666666667,model/weights/hd512_relu_lr0p01_decay0p98_wd0p0_best.npz
514,hd128_sigmoid_lr0p1_decay0p98_wd0p001,128,sigmoid,0.1,0.98,0.001,50,0.889,model/weights/hd128_sigmoid_lr0p1_decay0p98_wd0p001_best.npz
515,hd256_sigmoid_lr0p1_decay0p98_wd0p001,256,sigmoid,0.1,0.98,0.001,50,0.889,model/weights/hd256_sigmoid_lr0p1_decay0p98_wd0p001_best.npz
516,hd512_sigmoid_lr0p2_decay0p95_wd0p001,512,sigmoid,0.2,0.95,0.001,50,0.889,model/weights/hd512_sigmoid_lr0p2_decay0p95_wd0p001_best.npz
517,hd128_sigmoid_lr0p05_decay0p98_wd0p0,128,sigmoid,0.05,0.98,0.0,50,0.8888333333333334,model/weights/hd128_sigmoid_lr0p05_decay0p98_wd0p0_best.npz
518,hd256_relu_lr0p01_decay0p98_wd1e-05,256,relu,0.01,0.98,1e-05,50,0.8888333333333334,model/weights/hd256_relu_lr0p01_decay0p98_wd1e-05_best.npz
519,hd256_relu_lr0p01_decay0p98_wd0p0001,256,relu,0.01,0.98,0.0001,50,0.8886666666666667,model/weights/hd256_relu_lr0p01_decay0p98_wd0p0001_best.npz
520,hd256_relu_lr0p01_decay0p98_wd0p0,256,relu,0.01,0.98,0.0,50,0.8886666666666667,model/weights/hd256_relu_lr0p01_decay0p98_wd0p0_best.npz
521,hd512_sigmoid_lr0p1_decay1p0_wd0p001,512,sigmoid,0.1,1.0,0.001,50,0.8886666666666667,model/weights/hd512_sigmoid_lr0p1_decay1p0_wd0p001_best.npz
522,hd128_relu_lr0p01_decay0p98_wd0p001,128,relu,0.01,0.98,0.001,50,0.8885,model/weights/hd128_relu_lr0p01_decay0p98_wd0p001_best.npz
523,hd128_sigmoid_lr0p05_decay0p98_wd1e-05,128,sigmoid,0.05,0.98,1e-05,50,0.8885,model/weights/hd128_sigmoid_lr0p05_decay0p98_wd1e-05_best.npz
524,hd128_tanh_lr0p01_decay1p0_wd0p001,128,tanh,0.01,1.0,0.001,50,0.8885,model/weights/hd128_tanh_lr0p01_decay1p0_wd0p001_best.npz
525,hd512_relu_lr0p01_decay0p98_wd0p0001,512,relu,0.01,0.98,0.0001,50,0.8885,model/weights/hd512_relu_lr0p01_decay0p98_wd0p0001_best.npz
526,hd768_sigmoid_lr0p2_decay1p0_wd0p001,768,sigmoid,0.2,1.0,0.001,50,0.888,model/weights/hd768_sigmoid_lr0p2_decay1p0_wd0p001_best.npz
527,hd512_sigmoid_lr0p05_decay0p98_wd0p0001,512,sigmoid,0.05,0.98,0.0001,50,0.8878333333333334,model/weights/hd512_sigmoid_lr0p05_decay0p98_wd0p0001_best.npz
528,hd128_relu_lr0p01_decay0p98_wd0p0,128,relu,0.01,0.98,0.0,50,0.8876666666666667,model/weights/hd128_relu_lr0p01_decay0p98_wd0p0_best.npz
529,hd256_relu_lr0p01_decay0p98_wd0p001,256,relu,0.01,0.98,0.001,50,0.8876666666666667,model/weights/hd256_relu_lr0p01_decay0p98_wd0p001_best.npz
530,hd128_sigmoid_lr0p05_decay0p98_wd0p0001,128,sigmoid,0.05,0.98,0.0001,50,0.8875,model/weights/hd128_sigmoid_lr0p05_decay0p98_wd0p0001_best.npz
531,hd512_relu_lr0p01_decay0p98_wd0p001,512,relu,0.01,0.98,0.001,50,0.8875,model/weights/hd512_relu_lr0p01_decay0p98_wd0p001_best.npz
532,hd128_relu_lr0p01_decay0p98_wd0p0001,128,relu,0.01,0.98,0.0001,50,0.8873333333333333,model/weights/hd128_relu_lr0p01_decay0p98_wd0p0001_best.npz
533,hd128_relu_lr0p01_decay0p98_wd1e-05,128,relu,0.01,0.98,1e-05,50,0.8873333333333333,model/weights/hd128_relu_lr0p01_decay0p98_wd1e-05_best.npz
534,hd256_sigmoid_lr0p05_decay0p98_wd1e-05,256,sigmoid,0.05,0.98,1e-05,50,0.8873333333333333,model/weights/hd256_sigmoid_lr0p05_decay0p98_wd1e-05_best.npz
535,hd256_sigmoid_lr0p05_decay0p98_wd0p0,256,sigmoid,0.05,0.98,0.0,50,0.887,model/weights/hd256_sigmoid_lr0p05_decay0p98_wd0p0_best.npz
536,hd512_sigmoid_lr0p1_decay0p98_wd0p001,512,sigmoid,0.1,0.98,0.001,50,0.8868333333333334,model/weights/hd512_sigmoid_lr0p1_decay0p98_wd0p001_best.npz
537,hd512_tanh_lr0p01_decay0p98_wd0p0001,512,tanh,0.01,0.98,0.0001,50,0.8866666666666667,model/weights/hd512_tanh_lr0p01_decay0p98_wd0p0001_best.npz
538,hd512_tanh_lr0p01_decay0p98_wd0p0,512,tanh,0.01,0.98,0.0,50,0.8866666666666667,model/weights/hd512_tanh_lr0p01_decay0p98_wd0p0_best.npz
539,hd512_tanh_lr0p01_decay0p98_wd1e-05,512,tanh,0.01,0.98,1e-05,50,0.8866666666666667,model/weights/hd512_tanh_lr0p01_decay0p98_wd1e-05_best.npz
540,hd256_sigmoid_lr0p05_decay0p98_wd0p0001,256,sigmoid,0.05,0.98,0.0001,50,0.8865,model/weights/hd256_sigmoid_lr0p05_decay0p98_wd0p0001_best.npz
541,hd768_relu_lr0p01_decay0p95_wd0p001,768,relu,0.01,0.95,0.001,50,0.8865,model/weights/hd768_relu_lr0p01_decay0p95_wd0p001_best.npz
542,hd768_relu_lr0p01_decay0p95_wd0p0001,768,relu,0.01,0.95,0.0001,50,0.8861666666666667,model/weights/hd768_relu_lr0p01_decay0p95_wd0p0001_best.npz
543,hd768_relu_lr0p01_decay0p95_wd1e-05,768,relu,0.01,0.95,1e-05,50,0.8861666666666667,model/weights/hd768_relu_lr0p01_decay0p95_wd1e-05_best.npz
544,hd768_relu_lr0p01_decay0p95_wd0p0,768,relu,0.01,0.95,0.0,50,0.886,model/weights/hd768_relu_lr0p01_decay0p95_wd0p0_best.npz
545,hd768_tanh_lr0p01_decay0p98_wd0p0001,768,tanh,0.01,0.98,0.0001,50,0.886,model/weights/hd768_tanh_lr0p01_decay0p98_wd0p0001_best.npz
546,hd768_tanh_lr0p01_decay0p98_wd0p001,768,tanh,0.01,0.98,0.001,50,0.886,model/weights/hd768_tanh_lr0p01_decay0p98_wd0p001_best.npz
547,hd256_sigmoid_lr0p05_decay1p0_wd0p001,256,sigmoid,0.05,1.0,0.001,50,0.8858333333333334,model/weights/hd256_sigmoid_lr0p05_decay1p0_wd0p001_best.npz
548,hd512_tanh_lr0p01_decay0p98_wd0p001,512,tanh,0.01,0.98,0.001,50,0.8858333333333334,model/weights/hd512_tanh_lr0p01_decay0p98_wd0p001_best.npz
549,hd768_tanh_lr0p01_decay0p98_wd0p0,768,tanh,0.01,0.98,0.0,50,0.8858333333333334,model/weights/hd768_tanh_lr0p01_decay0p98_wd0p0_best.npz
550,hd768_tanh_lr0p01_decay0p98_wd1e-05,768,tanh,0.01,0.98,1e-05,50,0.8858333333333334,model/weights/hd768_tanh_lr0p01_decay0p98_wd1e-05_best.npz
551,hd128_sigmoid_lr0p05_decay1p0_wd0p001,128,sigmoid,0.05,1.0,0.001,50,0.8856666666666667,model/weights/hd128_sigmoid_lr0p05_decay1p0_wd0p001_best.npz
552,hd128_tanh_lr0p01_decay0p98_wd0p0,128,tanh,0.01,0.98,0.0,50,0.8853333333333333,model/weights/hd128_tanh_lr0p01_decay0p98_wd0p0_best.npz
553,hd128_tanh_lr0p01_decay0p98_wd0p0001,128,tanh,0.01,0.98,0.0001,50,0.885,model/weights/hd128_tanh_lr0p01_decay0p98_wd0p0001_best.npz
554,hd128_tanh_lr0p01_decay0p98_wd1e-05,128,tanh,0.01,0.98,1e-05,50,0.885,model/weights/hd128_tanh_lr0p01_decay0p98_wd1e-05_best.npz
555,hd256_tanh_lr0p01_decay0p98_wd0p0001,256,tanh,0.01,0.98,0.0001,50,0.8848333333333334,model/weights/hd256_tanh_lr0p01_decay0p98_wd0p0001_best.npz
556,hd128_tanh_lr0p01_decay0p98_wd0p001,128,tanh,0.01,0.98,0.001,50,0.8846666666666667,model/weights/hd128_tanh_lr0p01_decay0p98_wd0p001_best.npz
557,hd256_tanh_lr0p01_decay0p98_wd0p0,256,tanh,0.01,0.98,0.0,50,0.8845,model/weights/hd256_tanh_lr0p01_decay0p98_wd0p0_best.npz
558,hd256_tanh_lr0p01_decay0p98_wd1e-05,256,tanh,0.01,0.98,1e-05,50,0.8845,model/weights/hd256_tanh_lr0p01_decay0p98_wd1e-05_best.npz
559,hd512_sigmoid_lr0p05_decay1p0_wd0p001,512,sigmoid,0.05,1.0,0.001,50,0.8843333333333333,model/weights/hd512_sigmoid_lr0p05_decay1p0_wd0p001_best.npz
560,hd256_sigmoid_lr0p2_decay0p9_wd0p001,256,sigmoid,0.2,0.9,0.001,50,0.884,model/weights/hd256_sigmoid_lr0p2_decay0p9_wd0p001_best.npz
561,hd256_tanh_lr0p01_decay0p98_wd0p001,256,tanh,0.01,0.98,0.001,50,0.8838333333333334,model/weights/hd256_tanh_lr0p01_decay0p98_wd0p001_best.npz
562,hd128_sigmoid_lr0p2_decay0p9_wd0p001,128,sigmoid,0.2,0.9,0.001,50,0.8831666666666667,model/weights/hd128_sigmoid_lr0p2_decay0p9_wd0p001_best.npz
563,hd128_sigmoid_lr0p1_decay0p95_wd0p001,128,sigmoid,0.1,0.95,0.001,50,0.8826666666666667,model/weights/hd128_sigmoid_lr0p1_decay0p95_wd0p001_best.npz
564,hd256_sigmoid_lr0p1_decay0p95_wd0p001,256,sigmoid,0.1,0.95,0.001,50,0.8826666666666667,model/weights/hd256_sigmoid_lr0p1_decay0p95_wd0p001_best.npz
565,hd256_relu_lr0p01_decay0p95_wd0p0001,256,relu,0.01,0.95,0.0001,50,0.8823333333333333,model/weights/hd256_relu_lr0p01_decay0p95_wd0p0001_best.npz
566,hd256_relu_lr0p01_decay0p95_wd1e-05,256,relu,0.01,0.95,1e-05,50,0.8823333333333333,model/weights/hd256_relu_lr0p01_decay0p95_wd1e-05_best.npz
567,hd512_sigmoid_lr0p2_decay0p9_wd0p001,512,sigmoid,0.2,0.9,0.001,50,0.8823333333333333,model/weights/hd512_sigmoid_lr0p2_decay0p9_wd0p001_best.npz
568,hd256_relu_lr0p01_decay0p95_wd0p0,256,relu,0.01,0.95,0.0,50,0.882,model/weights/hd256_relu_lr0p01_decay0p95_wd0p0_best.npz
569,hd512_sigmoid_lr0p1_decay0p95_wd0p001,512,sigmoid,0.1,0.95,0.001,50,0.882,model/weights/hd512_sigmoid_lr0p1_decay0p95_wd0p001_best.npz
570,hd256_relu_lr0p01_decay0p95_wd0p001,256,relu,0.01,0.95,0.001,50,0.8816666666666667,model/weights/hd256_relu_lr0p01_decay0p95_wd0p001_best.npz
571,hd512_relu_lr0p01_decay0p95_wd0p0001,512,relu,0.01,0.95,0.0001,50,0.8816666666666667,model/weights/hd512_relu_lr0p01_decay0p95_wd0p0001_best.npz
572,hd256_sigmoid_lr0p05_decay0p98_wd0p001,256,sigmoid,0.05,0.98,0.001,50,0.8815,model/weights/hd256_sigmoid_lr0p05_decay0p98_wd0p001_best.npz
573,hd512_relu_lr0p01_decay0p95_wd0p001,512,relu,0.01,0.95,0.001,50,0.8815,model/weights/hd512_relu_lr0p01_decay0p95_wd0p001_best.npz
574,hd512_relu_lr0p01_decay0p95_wd0p0,512,relu,0.01,0.95,0.0,50,0.8813333333333333,model/weights/hd512_relu_lr0p01_decay0p95_wd0p0_best.npz
575,hd512_relu_lr0p01_decay0p95_wd1e-05,512,relu,0.01,0.95,1e-05,50,0.8813333333333333,model/weights/hd512_relu_lr0p01_decay0p95_wd1e-05_best.npz
576,hd128_relu_lr0p01_decay0p95_wd0p0,128,relu,0.01,0.95,0.0,50,0.8806666666666667,model/weights/hd128_relu_lr0p01_decay0p95_wd0p0_best.npz
577,hd128_relu_lr0p01_decay0p95_wd1e-05,128,relu,0.01,0.95,1e-05,50,0.8806666666666667,model/weights/hd128_relu_lr0p01_decay0p95_wd1e-05_best.npz
578,hd128_sigmoid_lr0p05_decay0p98_wd0p001,128,sigmoid,0.05,0.98,0.001,50,0.8806666666666667,model/weights/hd128_sigmoid_lr0p05_decay0p98_wd0p001_best.npz
579,hd128_relu_lr0p01_decay0p95_wd0p0001,128,relu,0.01,0.95,0.0001,50,0.8805,model/weights/hd128_relu_lr0p01_decay0p95_wd0p0001_best.npz
580,hd512_tanh_lr0p01_decay0p95_wd0p0,512,tanh,0.01,0.95,0.0,50,0.8805,model/weights/hd512_tanh_lr0p01_decay0p95_wd0p0_best.npz
581,hd128_relu_lr0p01_decay0p95_wd0p001,128,relu,0.01,0.95,0.001,50,0.8803333333333333,model/weights/hd128_relu_lr0p01_decay0p95_wd0p001_best.npz
582,hd512_tanh_lr0p01_decay0p95_wd0p0001,512,tanh,0.01,0.95,0.0001,50,0.8803333333333333,model/weights/hd512_tanh_lr0p01_decay0p95_wd0p0001_best.npz
583,hd512_tanh_lr0p01_decay0p95_wd1e-05,512,tanh,0.01,0.95,1e-05,50,0.8803333333333333,model/weights/hd512_tanh_lr0p01_decay0p95_wd1e-05_best.npz
584,hd768_relu_lr0p01_decay0p9_wd0p001,768,relu,0.01,0.9,0.001,50,0.8803333333333333,model/weights/hd768_relu_lr0p01_decay0p9_wd0p001_best.npz
585,hd512_sigmoid_lr0p05_decay0p98_wd0p001,512,sigmoid,0.05,0.98,0.001,50,0.8801666666666667,model/weights/hd512_sigmoid_lr0p05_decay0p98_wd0p001_best.npz
586,hd768_relu_lr0p01_decay0p9_wd0p0001,768,relu,0.01,0.9,0.0001,50,0.8801666666666667,model/weights/hd768_relu_lr0p01_decay0p9_wd0p0001_best.npz
587,hd768_relu_lr0p01_decay0p9_wd0p0,768,relu,0.01,0.9,0.0,50,0.8801666666666667,model/weights/hd768_relu_lr0p01_decay0p9_wd0p0_best.npz
588,hd768_relu_lr0p01_decay0p9_wd1e-05,768,relu,0.01,0.9,1e-05,50,0.8801666666666667,model/weights/hd768_relu_lr0p01_decay0p9_wd1e-05_best.npz
589,hd512_sigmoid_lr0p1_decay0p9_wd0p0,512,sigmoid,0.1,0.9,0.0,50,0.8793333333333333,model/weights/hd512_sigmoid_lr0p1_decay0p9_wd0p0_best.npz
590,hd512_sigmoid_lr0p1_decay0p9_wd1e-05,512,sigmoid,0.1,0.9,1e-05,50,0.8793333333333333,model/weights/hd512_sigmoid_lr0p1_decay0p9_wd1e-05_best.npz
591,hd512_tanh_lr0p01_decay0p95_wd0p001,512,tanh,0.01,0.95,0.001,50,0.879,model/weights/hd512_tanh_lr0p01_decay0p95_wd0p001_best.npz
592,hd128_sigmoid_lr0p1_decay0p9_wd1e-05,128,sigmoid,0.1,0.9,1e-05,50,0.8786666666666667,model/weights/hd128_sigmoid_lr0p1_decay0p9_wd1e-05_best.npz
593,hd512_sigmoid_lr0p05_decay0p95_wd0p0,512,sigmoid,0.05,0.95,0.0,50,0.8786666666666667,model/weights/hd512_sigmoid_lr0p05_decay0p95_wd0p0_best.npz
594,hd128_sigmoid_lr0p1_decay0p9_wd0p0,128,sigmoid,0.1,0.9,0.0,50,0.8785,model/weights/hd128_sigmoid_lr0p1_decay0p9_wd0p0_best.npz
595,hd512_sigmoid_lr0p05_decay0p95_wd1e-05,512,sigmoid,0.05,0.95,1e-05,50,0.8785,model/weights/hd512_sigmoid_lr0p05_decay0p95_wd1e-05_best.npz
596,hd256_sigmoid_lr0p05_decay0p95_wd1e-05,256,sigmoid,0.05,0.95,1e-05,50,0.8783333333333333,model/weights/hd256_sigmoid_lr0p05_decay0p95_wd1e-05_best.npz
597,hd256_sigmoid_lr0p1_decay0p9_wd0p0001,256,sigmoid,0.1,0.9,0.0001,50,0.8783333333333333,model/weights/hd256_sigmoid_lr0p1_decay0p9_wd0p0001_best.npz
598,hd256_sigmoid_lr0p1_decay0p9_wd0p0,256,sigmoid,0.1,0.9,0.0,50,0.8783333333333333,model/weights/hd256_sigmoid_lr0p1_decay0p9_wd0p0_best.npz
